,n_features,seed,type,time,time_norm
0,78,8,quadratic,0.08522838703356683,8.522838703356683e-05
1,78,8,linear_quadratic,0.8715390900033526,0.0008715390900033526
2,138,3,cubic,0.0720221460214816,7.20221460214816e-05
3,138,3,linear_cubic,121.46561249200022,0.12146561249200022
4,119,7,quadratic,0.0641446840018034,6.41446840018034e-05
5,119,7,linear_quadratic,1.5636302089551464,0.0015636302089551465
6,18,2,cubic,0.14545288402587175,0.00014545288402587175
7,18,2,linear_cubic,0.6323015440138988,0.0006323015440138989
8,86,1,cubic,0.09834045000025071,9.834045000025071e-05
9,86,1,linear_cubic,49.305789113015635,0.049305789113015634
10,103,5,cubic,0.0901610289583914,9.01610289583914e-05
11,103,5,linear_cubic,51.857294254994486,0.05185729425499448
12,33,7,quadratic,0.1290995649760589,0.0001290995649760589
13,33,7,linear_quadratic,0.18981046800035983,0.00018981046800035982
14,146,5,cubic,0.22095425700535998,0.00022095425700535999
15,146,5,linear_cubic,116.36503632605309,0.11636503632605309
16,76,7,quadratic,0.14095105198794045,0.00014095105198794045
17,76,7,linear_quadratic,1.9110041610256303,0.0019110041610256303
18,50,4,quadratic,0.07744449999881908,7.744449999881908e-05
19,50,4,linear_quadratic,1.1849274130072445,0.0011849274130072444
20,125,6,cubic,0.0704155620187521,7.04155620187521e-05
21,125,6,linear_cubic,73.4105097259744,0.0734105097259744
22,15,4,quadratic,0.10509875597199425,0.00010509875597199425
23,15,4,linear_quadratic,0.006835979991592467,6.835979991592467e-06
24,104,2,quadratic,0.06008450000081211,6.008450000081211e-05
25,104,2,linear_quadratic,1.0658975450205617,0.0010658975450205616
26,40,7,cubic,0.08579451701370999,8.579451701370999e-05
27,40,7,linear_cubic,3.064918921008939,0.003064918921008939
28,85,8,quadratic,0.0486451149918139,4.86451149918139e-05
29,85,8,linear_quadratic,0.9685321339638904,0.0009685321339638904
30,141,2,quadratic,0.05632273700030055,5.632273700030055e-05
31,141,2,linear_quadratic,1.9530089239997324,0.0019530089239997324
32,23,4,cubic,0.04597229900537059,4.5972299005370586e-05
33,23,4,linear_cubic,0.4235963730025105,0.00042359637300251054
34,96,2,quadratic,0.06428175900009592,6.428175900009592e-05
35,96,2,linear_quadratic,1.1353443890000108,0.0011353443890000107
36,66,4,cubic,0.11824731802335009,0.0001182473180233501
37,66,4,linear_cubic,18.09657613397576,0.01809657613397576
38,122,1,quadratic,0.05438186600804329,5.438186600804329e-05
39,122,1,linear_quadratic,1.50609576998977,0.00150609576998977
40,117,8,quadratic,0.059556109001277946,5.9556109001277944e-05
41,117,8,linear_quadratic,1.4836199749988737,0.0014836199749988736
42,69,0,quadratic,0.14170517400634708,0.0001417051740063471
43,69,0,linear_quadratic,0.6785499860052369,0.0006785499860052368
44,19,9,quadratic,0.09152697102399543,9.152697102399543e-05
45,19,9,linear_quadratic,0.022249731002375484,2.2249731002375483e-05
46,99,6,cubic,0.04672223299712641,4.672223299712641e-05
47,99,6,linear_cubic,23.183099686000787,0.023183099686000786
48,79,3,cubic,0.07423707001726143,7.423707001726143e-05
49,79,3,linear_cubic,29.47058015697985,0.02947058015697985
50,89,5,quadratic,0.05585144698852673,5.585144698852673e-05
51,89,5,linear_quadratic,0.9737539839698002,0.0009737539839698002
52,8,1,quadratic,0.0637076199927833,6.370761999278329e-05
53,8,1,linear_quadratic,0.0028198350046295673,2.8198350046295674e-06
54,74,5,quadratic,0.050073793972842395,5.0073793972842394e-05
55,74,5,linear_quadratic,0.8286395710310899,0.0008286395710310899
56,144,7,cubic,0.06028352497378364,6.028352497378364e-05
57,144,7,linear_cubic,168.59254976699594,0.16859254976699595
58,31,5,quadratic,0.09723916800430743,9.723916800430743e-05
59,31,5,linear_quadratic,0.07886816799873486,7.886816799873486e-05
60,101,7,cubic,0.07422700402094051,7.422700402094051e-05
61,101,7,linear_cubic,70.12242961797165,0.07012242961797165
62,84,3,cubic,0.07305623099091463,7.305623099091463e-05
63,84,3,linear_cubic,37.0841630139912,0.0370841630139912
